楼盘名,楼盘地址,所在地区,房子户型,房子面积,房子价格
金地香山湖,[ 增城 广园东 ] 新新大道15号,增城,3室/4室,建筑面积：99-140㎡,14500
中建|鄂旅投岭南悦府,[ 增城 永宁 ] 新耀北路与创盈路交汇处,增城,2室/3室/4室,建筑面积：65-108㎡,
世茂泰禾广州院子,[ 增城 荔城 ] 广州市增城区增江街原裕达隆国际学校旁,增城,别墅,建筑面积：124-130㎡,258
合景誉山国际,[ 增城 广园东 ] 新新大道中,增城,3室/4室,建筑面积：84-125.75㎡,18000
中国铁建国际公馆,[ 增城 中新 ] 广州市地铁21号线坑贝站A出口西侧,增城,4室,建筑面积：104-118㎡,20000
逸翠庄园,[ 增城 朱村 ] 增城大道292号,增城,别墅,建筑面积：279㎡,650
保利大国璟,[ 增城 荔城 ] 广州市增城区朱村广汕路沿线,增城,3室/4室,建筑面积：72-124㎡,21000
广州增城万科城,[ 增城 新塘 ] 新新大道北,增城,3室,建筑面积：79-96㎡,19000
合生湖山国际,[ 增城 新塘 ] 陈家林路,增城,2室/3室/4室,建筑面积：68-135㎡,19500
品秀星图,[ 增城 新塘 ] 广州地铁13号线官湖车辆段（官湖站B出...,增城,2室/3室/4室,建筑面积：78-134㎡,24000
叠溪花园,[ 增城 朱村 ] 朱石路,增城,3室/4室,建筑面积：76-127㎡,15500
华润置地润悦,[ 增城 朱村 ] 增城大道475号,增城,3室/4室,建筑面积：80-140㎡,20000
碧桂园凤凰城云顶,[ 增城 新塘 ] 广园快速新塘出口碧桂园凤凰城3环岛,增城,3室/4室,建筑面积：90-142㎡,28000
荔城·尚东【半山168】,[ 增城 荔城 ] 增城大道168号（21号线钟岗站C出口）,增城,别墅,建筑面积：232.13-506.71㎡,23000
香江天赋,[ 增城 广园东 ] 陈家林路159号,增城,3室/4室/5室,建筑面积：86.86-130㎡,23500
珠江·花屿花城,[ 增城 新塘 ] 新新大道中,增城,4室,建筑面积：79-96㎡,
敏捷绿湖首府,[ 增城 荔城 ] 增滩路,增城,2室/3室/4室,建筑面积：76-127㎡,14000
御溪世家,[ 增城 中新 ] 广州市增城区中新镇广汕路,增城,2室/3室/4室,建筑面积：61-99㎡,22000
越秀奥园华发·亲爱里,[ 增城 中新 ] 广州广河高速中新出口右转处,增城,3室/4室,建筑面积：78-101㎡,17000
时代风华（增城）,[ 增城 新塘 ] 新塘TOD·广园与荔新大道交汇处,增城,3室/4室,建筑面积：86-125㎡,24000
凯德·凯荔花园,[ 增城 荔城 ] 明慧路3号,增城,3室/4室,建筑面积：86-125㎡,
时代天汇,[ 增城 石滩 ] 增城区石顺大道622号,增城,3室,建筑面积：93-123㎡,16000
首创碧桂园悦山府,[ 增城 荔城 ] 广州市增城区狮尾路1号（荔城中学斜对...,增城,3室/4室,建筑面积：86-109㎡,17500
碧桂园中心,[ 增城 荔城 ] 广州东地铁21号线增城广场站万达旁,增城,3室/4室,建筑面积：107-328㎡,28000
中海联睿品,[ 增城 新塘 ] 民营大道东（新塘客运站南300米）,增城,3室/4室,建筑面积：74-107.5㎡,23000
创基天峰,[ 增城 荔城 ] 荔城街增城大道134号,增城,3室/4室,建筑面积：89-138㎡,19000
碧桂园金叶子,[ 增城 荔城 ] 白水寨景区,增城,商业,建筑面积：37-68㎡,13000
中国中铁·诺德梓悦台,[ 增城 荔城 ] 荔星大道北,增城,3室/4室,建筑面积：99-128㎡,21000
科慧花园,[ 增城 朱村 ] 广州地铁21号线凤岗站C出口,增城,4室/5室,建筑面积：118-205㎡,20000
融信天樾府,[ 增城 荔城 ] 荔城大道229号（增城区实验小学东侧）,增城,3室/4室,建筑面积：98-143㎡,22000
万科金色里程,[ 增城 新塘 ] 广州新塘东.济广高速与荔新公路交汇处,增城,3室,建筑面积：80-90㎡,16000
丰盛101,[ 增城 新塘 ] 广州市增城区新塘镇荔新大道97号,增城,2室/3室/4室,建筑面积：62-107㎡,170
合汇·璟园,[ 增城 石滩 ] 广州市增城区挂绿新城荔湖大道东合汇璟...,增城,别墅,建筑面积：215-260㎡,25000
峰尚九里,[ 增城 朱村 ] 中新镇中花路西50米,增城,3室/4室/5室,建筑面积：77-123㎡,18000
东江逸珑湾,[ 增城 新塘 ] 滨珑北二街6号,增城,2室/3室/4室,建筑面积：75-162㎡,18888
时代倾城（中新）,[ 增城 中新 ] 广州市增城区中新镇新墩路168号,增城,2室/3室,建筑面积：75-120㎡,20000
兰亭香麓,[ 增城 荔城 ] 广州东·增派大道（挂绿小学斜对面）,增城,3室,建筑面积：88-111㎡,
保利天际（增城）,[ 增城 新塘 ] 汽车城大道57号,增城,3室/4室,建筑面积：115-140㎡,28000
远洋招商保利东湾,[ 增城 朱村 ] 广汕公路燕岗桥东地铁21号线凤岗快线站...,增城,3室/4室,建筑面积：96-110㎡,24500
得天和苑,[ 增城 新塘 ] 新新大道北荔湖城站口,增城,3室/4室,建筑面积：89-120㎡,15000
东原印江澜,[ 增城 荔城 ] 广东省广州市增城区增江街增江小学西侧,增城,3室/4室,建筑面积：95-120㎡,
光大ONE+,[ 增城 永宁 ] 广州·国家级增城技术开发区（香山大道...,增城,,建筑面积：423962㎡,
合景臻湖誉园,[ 增城 荔城 ] 广州市增城区新城大道388号,增城,4室,建筑面积：123-143㎡,
大华城,[ 增城 朱村 ] 增城区朱村街东溪路1号,增城,2室/3室,建筑面积：78-98㎡,
新力·海石洲悦,[ 增城 新塘 ] 广园东路新塘出口陈家林路,增城,,建筑面积：571184㎡,
力迅π,[ 增城 新塘 ] 太平洋工业区太平洋海德堡花园别墅旁,增城,1室/2室,建筑面积：50-75㎡,
方圆·云山诗意云玺,[ 增城 石滩 ] 广州市石滩方圆云山诗意云玺,增城,4室,建筑面积：93-103㎡,140
公园里春晓花园,[ 增城 荔城 ] 增江街春晓街4号,增城,2室/3室,建筑面积：94-135㎡,15500
招商臻园,[ 增城 新塘 ] 广园快速荔新出口万达旁,增城,3室/4室,建筑面积：95-127㎡,26000
保利小楼大院,[ 增城 荔城 ] 派潭小楼人家风景区（国家级3A风景区）...,增城,别墅,建筑面积：135-214㎡,16000
广铝荔富湖畔,[ 增城 朱村 ] 朱村大道东88号,增城,2室/3室/4室,建筑面积：76-168㎡,18500
侨建御溪谷,[ 增城 朱村 ] 风光路399号,增城,别墅,建筑面积：285-436㎡,23000
广园东东方名都,[ 增城 新塘 ] 东江大道北8号,增城,1室/2室/3室/4室,建筑面积：40-205㎡,25000
长风国际公寓,[ 增城 新塘 ] 新塘镇荔新十二路96号,增城,商业,建筑面积：49.83-93.37㎡,12000
合景誉山国际ihouse,[ 增城 广园东 ] 新新大道中,增城,商业,建筑面积：37-168㎡,9000
恒大山水郡,[ 增城 朱村 ] S118省道,增城,3室,建筑面积：86-107㎡,14500
合景花漫里,[ 增城 广园东 ] 新新大道中段,增城,2室/3室/4室/别墅,建筑面积：68.16-158㎡,17600
源海仙村一号,[ 增城 新塘 ] 仙村大道,增城,2室/3室,建筑面积：86-129㎡,13800
奥园誉峯,[ 增城 新塘 ] 永平路29号,增城,,建筑面积：202780㎡,15000
金泽豪庭,[ 增城 新塘 ] 金泽路1号,增城,2室/3室,建筑面积：53-125㎡,22000
中森茗苑,[ 增城 新塘 ] 石新大道168号,增城,3室,建筑面积：85.55-87.35㎡,19500
嘉御豪庭,[ 增城 荔城 ] 石滩大道南128号,增城,2室/3室/4室,建筑面积：68-133㎡,16000
凯达尔枢纽国际广场,[ 增城 新塘 ] 港口大道北336号群星新邨3号,增城,商业,建筑面积：68-129㎡,30000
金泽惠百氏,[ 增城 新塘 ] 大林边路6号,增城,2室/3室,建筑面积：75-125㎡,20000
保利中航城,[ 增城 朱村 ] 广州科教城地铁21号线朱村站富士康科技...,增城,3室/4室,建筑面积：94-126㎡,23000
江山时代,[ 增城 朱村 ] 广汕公路,增城,1室/2室/3室,建筑面积：40-119㎡,22000
顺欣花园,[ 增城 新塘 ] 荔新十二路98号,增城,2室/3室/4室,建筑面积：77-143㎡,23000
富雅都市华庭,[ 增城 新塘 ] 汇太东路233号,增城,1室/2室/3室/4室,建筑面积：38-118.87㎡,18300
实地·广州蔷薇国际,[ 增城 荔城 ] 广汕公路,增城,2室/3室,建筑面积：86-140㎡,20000
合盛盈翠雅筑,[ 增城 荔城 ] 春天路1号,增城,别墅,建筑面积：185-282㎡,14000
水电广场,[ 增城 新塘 ] 广深大道西1号,增城,2室/3室/4室,建筑面积：90-136㎡,21000
汇港威华国际,[ 增城 朱村 ] 朱村大道东路,增城,3室/4室,建筑面积：85-118㎡,19000
尚东•We家,[ 增城 新塘 ] 温涌路,增城,2室/3室,建筑面积：86-108㎡,24000
海川山璟轩,[ 增城 新塘 ] 广深大道东107号,增城,2室/3室,建筑面积：62-85㎡,22000
中海联智汇城,[ 增城 新塘 ] 荔新大道,增城,商业,建筑面积：33-50㎡,13000
金时花园,[ 增城 荔城 ] 纬六路,增城,2室/3室,建筑面积：84.24-127㎡,18000
三江盛汇,[ 增城 新塘 ] 光明西路100号,增城,2室/3室,建筑面积：80-130㎡,13000
仁安花园,[ 增城 朱村 ] 朱宁路,增城,2室/3室,建筑面积：82-130㎡,
创基丽江国际,[ 增城 荔城 ] 增城大道与新城大道交汇处,增城,2室/3室/4室/5室,建筑面积：91.26-275㎡,35000
三英钓云台,[ 增城 荔城 ] 中国广东省广州市增城区派潭镇高滩村温...,增城,别墅,建筑面积：325-392㎡,
时代天启,[ 增城 荔城 ] 狮尾路1号,增城,3室/4室,建筑面积：85-130㎡,19000
恒展江山时代花园商铺,[ 增城 朱村 ] 广汕公路,增城,,建筑面积：267102㎡,26000
荔城一品山湖,[ 增城 荔城 ] 塔山大道555号,增城,3室,建筑面积：92-104㎡,13500
金众江悦府,[ 增城 石滩 ] 广州市增城区江龙大桥旁,增城,4室/5室,建筑面积：99-130㎡,14000
佳兆业・悦峰,[ 增城 新塘 ] 永宁大道,增城,,建筑面积：474002㎡,
华侨城湖岸,[ 增城 荔城 ] 新城大道,增城,,建筑面积：94678㎡,
佳兆业佳泽园,[ 增城 荔城 ] 广州市增城区荔城街增城大道钟岗地铁D...,增城,2室/3室,建筑面积：95-115㎡,
富城华庭,[ 增城 荔城 ] 曾江街道陆村村象山路189号,增城,,建筑面积：136000㎡,
时代风华商用,[ 增城 新塘 ] 广州市增城区新塘镇荔新12路99号,增城,商业,建筑面积：33-56㎡,14000
新塘奥园城市天地,[ 增城 新塘 ] 广州东·TOD国际新城·新塘客运站旁,增城,商业,建筑面积：37-57㎡,
中建荔苑,[ 增城 荔城 ] 荔星大道北60-98号,增城,3室,建筑面积：88.58-105.07㎡,19000
华侨城·云尚,[ 增城 荔城 ] 广州市增城区初溪大道（低碳总部园三期...,增城,3室/4室,建筑面积：87-117㎡,
广州碧桂园中心,[ 增城 荔城 ] 地铁21号线增城广场站万达旁,增城,,建筑面积：304-435㎡,28000
保利东江首府商铺,[ 增城 新塘 ] 江府大道20号,增城,,建筑面积：950436㎡,19000
敏捷星悦国际商铺,[ 增城 新塘 ] 新新大道麦当劳南侧,增城,,建筑面积：44000㎡,18000
富士康科技小镇,[ 增城 朱村 ] 广州科教城地铁21号线凤岗站C出口（导...,增城,,建筑面积：282400㎡,
保利合锦领秀山,[ 增城 荔城 ] 增江街陆村村鹅春岭,增城,2室/3室/4室/别墅,建筑面积：100-166㎡,16000
景新豪苑商铺,[ 增城 新塘 ] 新塘中心区汇太东路,增城,,建筑面积：20998㎡,20000
御湖山,[ 增城 荔城 ] 广州市增城区荔城百花山庄风景度假区内...,增城,3室/4室/别墅,建筑面积：95-1235.8㎡,23000
华海·西福蓝湾,[ 增城 朱村 ] 广州市增城区朱村街亚星路与元亨路交界...,增城,2室/3室,建筑面积：71-107㎡,17000
港骏轩,[ 增城 新塘 ] 广州市增城区新塘镇广深大道西292号,增城,2室/3室,建筑面积：71-101㎡,
卓粤广场,[ 增城 新塘 ] 增城区新塘大道东与铁塔路交汇（新塘镇...,增城,商业,建筑面积：39-95㎡,
珠江国际创业中心,[ 增城 新塘 ] 广州市增城区新塘镇创想路8号,增城,,建筑面积：883907㎡,
敏捷东樾府,[ 增城 石滩 ] 增城区荔湖新城广州新东站旁（规划中）,增城,,建筑面积：314700㎡,
合景誉山国际商铺,[ 增城 广园东 ] 广园东新新公路中段,增城,,建筑面积：2540000㎡,18000
融创御园商铺,[ 增城 朱村 ] 朱村大道中57 号地铁朱村站旁,增城,,建筑面积：74000㎡,7000
新塘奥园城市天地商铺,[ 增城 新塘 ] 广州东·TOD国际新城·新塘客运站旁,增城,,建筑面积：540000㎡,
翡翠绿洲,[ 增城 广园东 ] 陈家林路159号,增城,2室/3室/4室/5室,建筑面积：77-204㎡,21000
碧桂园豪园,[ 增城 荔城 ] 增滩路,增城,,建筑面积：100463㎡,20000
碧桂园东湖世家,[ 增城 荔城 ] 东桥东路,增城,2室/3室/4室,建筑面积：84-182㎡,19000
敏捷星悦国际,[ 增城 新塘 ] 新新大道中,增城,,建筑面积：44000㎡,19000
绿地珑玥府,[ 增城 荔城 ] 增江大道南（纬四路口）,增城,3室/4室,建筑面积：117-138㎡,25000
怡康华府,[ 增城 荔城 ] 百花路7号,增城,3室,建筑面积：107㎡,25000
雅居乐三千院,[ 增城 荔城 ] 百花大道23号,增城,别墅,建筑面积：310-646㎡,1000
亚太银座商铺,[ 增城 新塘 ] 新塘镇广群路,增城,,建筑面积：40-700㎡,60000
保利国际金融中心,[ 增城 新塘 ] 江府大道2号,增城,,建筑面积：108-147㎡,7288
碧桂园豪进左岸,[ 增城 荔城 ] 石滩体育馆东行约400米处,增城,3室/商业,建筑面积：93-141㎡,
锦绣御景国际,[ 增城 荔城 ] 府佑路与荔星大道交汇处(增城市公安局...,增城,2室/3室/4室/5室/别墅,建筑面积：60.94-328.24㎡,16500
观园壹号,[ 增城 荔城 ] 石滩新城中心，增滩公路和东西主干道交...,增城,2室/3室,建筑面积：85-120㎡,8500
中国铁建国际花园,[ 增城 朱村 ] 朱村街花蕾街4号,增城,2室/3室,建筑面积：66-112㎡,28000
崇和花园,[ 增城 新塘 ] 永和新新七路299号（广惠高速入口处北...,增城,1室/2室/3室,建筑面积：56-124.27㎡,
金龙居,[ 增城 荔城 ] 荔城街荔城大道267号之二（增城市人民...,增城,3室,建筑面积：97.7-141.39㎡,
保利东江首府,[ 增城 新塘 ] 江府大道2号,增城,3室/4室/5室,建筑面积：123-240㎡,32000
嘉汇四季阳光,[ 增城 荔城 ] 荔城大道227号,增城,2室/3室,建筑面积：80-120㎡,
恒大山水城,[ 增城 广园东 ] 中新镇政府旁(广汕路与新新公路交界处...,增城,1室/2室/3室,建筑面积：74.5-121.75㎡,
东凌广场,[ 增城 新塘 ] 汽车城大道71号,增城,1室/2室/3室/4室,建筑面积：39-122㎡,
东汇城,[ 增城 荔城 ] 荔城街府佑路98号（府佑路与荔景大道主...,增城,1室/2室/4室,建筑面积：37.8-269.64㎡,
金泽华庭,[ 增城 新塘 ] 新塘大道中一号（新塘公园对面）,增城,4室/5室,建筑面积：148.33-159㎡,
时尚广场,[ 增城 新塘 ] 港口大道北395号,增城,2室/3室/4室,建筑面积：75-139㎡,13600
新都盛世名门,[ 增城 新塘 ] 增城新塘镇东进东路8号（广深大道中段...,增城,1室/2室/3室,建筑面积：28.32-140㎡,
迪亚春天花园,[ 增城 荔城 ] 小楼镇小楼大道南1号,增城,别墅,建筑面积：178-290㎡,
金地荔湖城,[ 增城 新塘 ] 永和镇新新五路15号（广园东路中新出口...,增城,1室/2室/3室/5室,建筑面积：45-198.25㎡,
好景华庭,[ 增城 荔城 ] 荔乡路3号（增城市国税局对面）,增城,2室/3室,建筑面积：109-118㎡,
新天美地花园,[ 增城 荔城 ] 荔城街新丰路26号,增城,3室/4室,建筑面积：116.43-142.25㎡,
力源愉苑,[ 增城 荔城 ] 百花路2号,增城,别墅,建筑面积：285-526㎡,
石滩第一城三期,[ 增城 荔城 ] 增城石滩镇立新东路56号,增城,3室,建筑面积：140.3㎡,
东山富康苑,[ 增城 荔城 ] 增江街东桥东路27号,增城,3室,建筑面积：137.8㎡,
合景誉山银座,[ 增城 新塘 ] 增城广州增城市新塘镇永和新新公路,增城,,建筑面积：1420000㎡,9000
翡翠新天地,[ 增城 广园东 ] 增城广园东开创大道,增城,,建筑面积：20010000㎡,45000
汇美体育花园项目,[ 增城 新塘 ] 金都大道汇美公园旁,增城,,建筑面积：80000㎡,
敏捷锦绣星河,[ 增城 荔城 ] 增正公路旁正果派出所往前500米（兰溪...,增城,2室/3室,建筑面积：79-121㎡,5500
新塘新世界,[ 增城 新塘 ] 花园东路6号,增城,2室/3室/4室,建筑面积：79-148㎡,16500
万科桃源里,[ 增城 荔城 ] 派潭大道74号,增城,2室/3室/4室,建筑面积：71-135㎡,9388
碧桂园中新首府,[ 增城 广园东 ] 中新镇福和（广河高速中新出口左转500...,增城,2室/3室/4室,建筑面积：80.1-137㎡,9300
力诚凯怡湾,[ 增城 新塘 ] 新塘大道中205号,增城,1室/2室/3室,建筑面积：39-106㎡,9000
增城方圆云山诗意,[ 增城 荔城 ] 荔城大道,增城,2室/3室/4室,建筑面积：78-142.09㎡,20000
欧亚公馆,[ 增城 荔城 ] 新城大道122号（雁塔派出所旁),增城,2室/3室/4室,建筑面积：85-143㎡,15000
同创滨江,[ 增城 荔城 ] 增城大道滨江生活圈,增城,3室/4室,建筑面积：83-140㎡,
碧桂园琥珀湾,[ 增城 荔城 ] 光明东路,增城,4室,建筑面积：142㎡,
丰泰城市公馆,[ 增城 新塘 ] 东坑三横路2号,增城,2室/3室,建筑面积：84-124㎡,10700
新景豪庭,[ 增城 新塘 ] 广深大道西228号,增城,商业,建筑面积：73-109㎡,13500
石滩第一城,[ 增城 新塘 ] 立新路56号,增城,3室,建筑面积：99-120㎡,16500
融创御园,[ 增城 朱村 ] 朱村街朱村大道中57号,增城,3室/4室,建筑面积：87-120㎡,19000
中贸国际,[ 增城 新塘 ] 增城牛仔城北牛仔二路7号,增城,商业,建筑面积：109.2㎡,
新汇时光,[ 增城 新塘 ] 汇太中路193号,增城,1室/2室,建筑面积：51-65㎡,13000
锦绣半山御景,[ 增城 荔城 ] 荔新二路188号（广东商学院华商学院旁...,增城,1室/2室/3室/别墅,建筑面积：46-309㎡,
嘉骏豪苑,[ 增城 新塘 ] 光华路19号,增城,1室/2室/3室,建筑面积：43-100㎡,
敏捷莱茵花园,[ 增城 荔城 ] 增江大道与光明东路交汇处,增城,2室/3室/4室,建筑面积：80-159㎡,
太阳城巧克力社区,[ 增城 广园东 ] 新新大道简村段（广园快速中新出口左转...,增城,2室/3室,建筑面积：80-106㎡,
富城华府,[ 增城 荔城 ] 荔景大道北202号,增城,2室/3室/4室,建筑面积：106-159.48㎡,
东景华庭,[ 增城 新塘 ] 新塘镇广深大道西168号,增城,1室/2室/3室,建筑面积：39-136㎡,
锦绣新天地,[ 增城 新塘 ] 府前路29号,增城,2室/3室/5室,建筑面积：74-156㎡,
增城雅居乐御宾府,[ 增城 荔城 ] 荔星大道和俯前路交汇处,增城,2室/3室/4室,建筑面积：74-143㎡,
假日花园,[ 增城 新塘 ] 大林边二橫路7、8号,增城,1室/2室/3室/4室,建筑面积：45.47-151.59㎡,
顺欣广场,[ 增城 新塘 ] 荔新十二路98号,增城,3室,建筑面积：122-126.62㎡,8200
景新花园,[ 增城 荔城 ] 荔城大道442号,增城,3室/4室/5室,建筑面积：105-186㎡,
百晟汇翠湾,[ 增城 荔城 ] 荔景大道433号,增城,3室/4室,建筑面积：97.77-142㎡,
碧桂园豪进广场,[ 增城 新塘 ] 东江大道28号（广园快速新新出口、广深...,增城,,建筑面积：125141㎡,
增城万达广场,[ 增城 荔城 ] 增城大道与荔景大道交汇处(增城广场南...,增城,,建筑面积：377300㎡,
碧桂园城市花园,[ 增城 朱村 ] 朱村街,增城,3室,建筑面积：93-113㎡,24000
亚太银座,[ 增城 新塘 ] 大润发旁（地铁新塘站口）,增城,2室/3室,建筑面积：65-127㎡,
金地公园上城,[ 增城 广园东 ] 永和新新公路5号金地公园上城（广园快...,增城,3室/别墅,建筑面积：65-272㎡,8118
金竹家园,[ 增城 荔城 ] 荔城街府佑路228号,增城,2室/3室,建筑面积：96-120㎡,
金河湾家园,[ 增城 荔城 ] 荔城街幸福路8号，增城大道2号,增城,2室/3室/4室,建筑面积：86-154㎡,
保利i立方iplus,[ 增城 新塘 ] 永宁大道,增城,2室/3室/4室/5室,建筑面积：67-106㎡,24000
锦绣天伦花园,[ 增城 新塘 ] 新沙路30号,增城,1室/2室/3室,建筑面积：43-120㎡,8500
增城时代廊桥,[ 增城 新塘 ] 永宁大道28号,增城,2室/3室/4室,建筑面积：68-113㎡,20000
海伦春天,[ 增城 新塘 ] 永和永顺大道东15号,增城,2室/3室/4室,建筑面积：82-151㎡,305
敏捷锦绣星辰,[ 增城 荔城 ] 增江街西山村（广汕公路旁）,增城,3室,建筑面积：96-124㎡,12000
中海香樟墅,[ 增城 新塘 ] 广汕公路与新新大道交汇处（新墩路163...,增城,别墅,建筑面积：220-370㎡,16000
合汇中央广场,[ 增城 荔城 ] 府佑路与荔景大道交汇处（增城广场北侧...,增城,2室/3室/4室,建筑面积：73-137㎡,28000
汇东国际花园,[ 增城 新塘 ] 汇东南路1号,增城,2室/3室/4室,建筑面积：76.1-142.42㎡,
合汇学府名郡,[ 增城 新塘 ] 新塘大道西,增城,2室/3室,建筑面积：77.48-122.51㎡,
景新豪苑,[ 增城 新塘 ] 新塘中心区汇太东路,增城,1室/2室/3室,建筑面积：43.8-101.54㎡,14000
广州挂绿湖碧桂园,[ 增城 荔城 ] 增滩路,增城,商业,建筑面积：38㎡,18000
金马香颂居,[ 增城 荔城 ] 广汕公路和荔城大道交汇处向东500米,增城,2室/3室,建筑面积：75-111㎡,9300
乐天峰公馆,[ 增城 荔城 ] 幸福路25号（中坚豪庭旁）,增城,3室,建筑面积：85-133㎡,
碧桂园映象,[ 增城 朱村 ] 广河高速中新出口左转2.5公里,增城,2室/3室/4室,建筑面积：72.64-138.25㎡,
佳大花漾时光,[ 增城 新塘 ] 新耀南路6号,增城,2室/3室,建筑面积：75-93㎡,
